Club,Average_Age,Average_potential,Highest_Paid_Player,Highest_Paid_Wage(Euros),Position,Total_Players,Country_with_most_players
Estudiantes de La Plata,25,72,L. Albertengo,14,ST,28,Argentina
Ettifaq FC,24,68,B. Alemán,29,CAM,30,Saudi Arabia
Everton,24,80,André Gomes,130,LDM,33,England
Excelsior,24,71,M. Edwards,10,RM,26,Netherlands
Exeter City,24,66,C. Ogbene,5,LM,28,England
Extremadura UD,26,69,Marcelo Djaló,13,CB,30,Spain
FC Admira Wacker Mödling,22,70,D. Toth,6,CDM,27,Austria
FC Augsburg,25,75,D. Baier,28,CDM,31,Germany
FC Barcelona,24,85,L. Messi,565,RF,33,Spain
FC Basel 1893,24,76,M. Suchý,26,CB,27,Switzerland
FC Bayern München,24,84,J. Rodríguez,315,LAM,29,Germany
FC Carl Zeiss Jena,24,67,J. Günther-Schmidt,6,RS,28,Germany
FC Dallas,25,72,M. Urruti,8,CAM,29,United States
FC Emmen,24,67,A. Jansen,5,ST,30,Netherlands
FC Energie Cottbus,25,67,A. Beyazıt,1,CF,28,Germany
FC Erzgebirge Aue,25,70,E. Iyoha,6,ST,29,Germany
FC Girondins de Bordeaux,23,78,Sergi Palencia,47,RB,31,France
FC Groningen,21,74,M. Cassierra,8,ST,26,Netherlands
FC Hansa Rostock,25,68,P. Ofosu-Ayeh,18,RB,25,Germany
FC Ingolstadt 04,25,72,S. Kittel,24,CAM,30,Germany
FC København,26,73,Zeca,21,LDM,23,Denmark
FC Lorient,24,71,F. Lemoine,8,RCM,30,France
FC Lugano,25,69,P. Brlek,10,CM,27,Switzerland
FC Luzern,24,71,T. Juri�?,8,ST,27,Switzerland
FC Metz,24,74,R. Cohade,8,RCM,26,France
FC Midtjylland,24,73,G. Wikheim,20,LW,27,Denmark
FC Nantes,24,75,M. Miazga,51,RCB,32,France
FC Nordsjælland,20,72,M. Rygaard,10,ST,27,Denmark
FC Porto,25,81,Jorge,38,LB,28,Brazil
FC Red Bull Salzburg,23,78,M. Dabbur,40,RS,27,Austria
FC Schalke 04,25,80,A. Baba,56,LB,29,Germany
FC Seoul,28,68,Sin Jin Ho,7,LCM,28,Korea Republic
FC Sion,25,71,A. Song,27,CDM,27,Switzerland
FC Sochaux-Montbéliard,22,73,Rafa Navarro,10,RB,28,France
FC St. Gallen,24,70,T. Barnetta,12,CAM,25,Switzerland
FC St. Pauli,25,71,C. Buchtmann,16,CM,30,Germany
FC Thun,25,67,M. Tosetti,10,RM,26,Switzerland
FC Tokyo,25,69,Diego Oliveira,11,ST,30,Japan
FC Utrecht,24,74,T. Letschert,28,RCB,26,Netherlands
FC Wacker Innsbruck,24,67,B. Henning,6,RCM,27,Austria
FC Würzburger Kickers,23,68,P. Kurzweg,7,LB,27,Germany
FC Zürich,24,71,B. Kololli,9,LW,27,Switzerland
FK Austria Wien,24,72,A. Grünwald,15,CAM,27,Austria
FK Bodø/Glimt,24,65,M. Bjørnbak,2,RCB,27,Norway
FK Haugesund,23,69,B. Akintola,6,RM,22,Norway
FSV Zwickau,25,67,K. Hoffmann,2,CAM,25,Germany
Fenerbahçe SK,27,77,M. Valbuena,86,LM,30,Turkey
Feyenoord,23,77,J. Clasie,44,RCM,28,Netherlands
Fiorentina,23,80,M. Pjaca,75,LW,24,Italy
Fleetwood Town,25,68,J. Holt,22,LCM,28,England
Fluminense,30,72,Laure Santeiro,40,CAM,20,Brazil
Foggia,26,70,C. Galano,30,RS,27,Italy
Forest Green Rovers,24,67,N. McGinley,6,LCB,24,England
Fortuna Düsseldorf,25,74,D. Lukebakio,29,RS,33,Germany
Fortuna Sittard,22,72,José Rodríguez,17,RCM,27,Netherlands
Frosinone,26,74,E. Goldaniga,32,RCB,33,Italy
Fulham,23,77,J. Seri,73,LDM,32,England
GD Chaves,27,73,Renan Bressan,11,LCM,25,Portugal
GFC Ajaccio,25,67,A. Boupendza,5,ST,23,France
GIF Sundsvall,24,67,David Batanero,3,LCM,23,Sweden
Galatasaray SK,25,77,S. Feghouli,65,RM,30,Turkey
Gamba Osaka,25,68,Hwang Ui Jo,9,ST,30,Japan
Gangwon FC,27,67,U. Đeri�?,5,ST,28,Korea Republic
Genoa,26,77,L. Mazzitelli,32,CM,27,Italy
Getafe CF,25,77,S. Cristóforo,36,CDM,28,Spain
Gillingham,23,65,C. Ogilvie,9,LB,28,England
Gimnasia y Esgrima La Plata,25,73,F. Rinaudo,13,RCM,28,Argentina
Gimnàstic de Tarragona,25,72,Sebas Coris,17,RM,30,Spain
Girona FC,25,77,P. Roberts,60,RM,29,Spain
Godoy Cruz,23,72,S. García,20,ST,28,Argentina
Granada CF,25,72,Fede Vico,13,CAM,29,Spain
Grasshopper Club Zürich,23,71,S. Tarashaj,26,CAM,27,Switzerland
Grenoble Foot 38,27,67,L. Boussaha,4,ST,26,France
Grimsby Town,25,65,B. Pringle,4,LM,25,England
Grêmio,30,73,Ronaldo Cabrais,51,RW,20,Brazil
Guadalajara,25,73,I. Brizuela,36,RM,29,Mexico
Guangzhou Evergrande Taobao FC,27,70,Paulinho,235,LDM,28,China PR
Guangzhou R&F; FC,26,65,E. Zahavi,24,LS,28,China PR
Guizhou Hengfeng FC,28,65,Mario Suárez,16,LCM,28,China PR
Gyeongnam FC,27,65,Marcão,6,ST,28,Korea Republic
Górnik Zabrze,22,69,Angulo,6,LS,27,Poland
Göztepe SK,27,72,C. Borges,24,LDM,28,Turkey
HJK Helsinki,23,67,S. Dahlström,1,LCM,26,Finland
Hallescher FC,23,69,M. Fetsch,2,RS,25,Germany
Hamburger SV,22,77,Hwang Hee Chan,24,ST,30,Germany
Hamilton Academical FC,25,65,M. Kilgallon,3,LCB,28,Scotland
Hammarby IF,25,69,J. Hamad,5,LM,27,Sweden
Hannover 96,24,76,T. Asano,39,LM,29,Germany
Heart of Midlothian,25,73,D. Mitchell,24,LB,27,Scotland
Hebei China Fortune FC,28,67,E. Lavezzi,22,CAM,28,China PR
Hellas Verona,25,73,L. Marrone,61,LCB,29,Italy
Henan Jianye FC,26,65,Ricardo,13,ST,28,China PR
Heracles Almelo,24,71,B. Kuwas,9,CF,29,Netherlands
Hertha BSC,24,79,M. Gruji�?,51,RDM,32,Germany
Hibernian,26,70,A. Bogdán,28,GK,25,Scotland
Hobro IK,26,66,P. Kirkevold,6,LS,25,Denmark
Hokkaido Consadole Sapporo,28,64,Y. Komai,3,RM,29,Japan
Holstein Kiel,24,71,Lee Jae Sung,13,CAM,29,Germany
Houston Dynamo,27,70,A. Elis,8,RM,30,United States
Huddersfield Town,23,76,C. Schindler,48,CB,32,England
Hull City,24,72,K. Grosicki,23,LM,30,England
IF Brommapojkarna,24,65,R. Alm,1,RW,26,Sweden
IF Elfsborg,25,67,C. Obasi,5,ST,27,Sweden
IFK Göteborg,24,68,A. Calisir,2,CB,23,Sweden
IFK Norrköping,24,71,A. Fransson,5,RCM,24,Sweden
IK Sirius,26,65,A. Björnström,1,LB,27,Sweden
IK Start,24,69,A. Sigurðarson,2,LW,24,Norway
Incheon United FC,26,66,Moon Seon Min,4,LW,28,Korea Republic
Independiente,26,75,E. Cerutti,29,RM,28,Argentina
Independiente Medellín,25,69,J. Segura,9,CB,28,Colombia
Independiente Santa Fe,28,70,A. Rodríguez,11,ST,28,Colombia
Inter,27,82,M. Icardi,130,ST,24,Italy
Internacional,30,73,Claudio Coíntra,30,CAM,20,Brazil
Ipswich Town,24,72,J. Walters,33,ST,30,England
Itagüí Leones FC,24,68,F. Gómez,1,RM,28,Colombia
"Jagiellonia Bia�,ystok",25,69,I. Runje,7,RCB,27,Poland
Jaguares de Córdoba,27,66,C. Alzáte,1,CAM,28,Colombia
Jeju United FC,27,67,Roberson,12,ST,28,Korea Republic
Jeonbuk Hyundai Motors,28,70,Hong Jeong Ho,14,RCB,28,Korea Republic
Jeonnam Dragons,26,67,Ha Tae Goon,4,ST,28,Korea Republic
Jiangsu Suning FC,25,65,Alex Teixeira,30,LS,28,China PR
Junior FC,26,72,T. Gutiérrez,6,ST,28,Colombia
Juventus,27,86,Cristiano Ronaldo,405,ST,25,Italy
Júbilo Iwata,28,64,S. Nakamura,4,CAM,30,Japan
KAA Gent,24,75,T. Awoniyi,26,ST,28,Belgium
KAS Eupen,25,71,S. Marreh,13,CDM,28,Belgium
KFC Uerdingen 05,26,67,D. Maroh,6,LCB,28,Germany
KRC Genk,23,78,Pozuelo,19,CAM,25,Belgium
KSV Cercle Brugge,25,71,P. Nardi,27,GK,28,France
KV Kortrijk,26,71,F. Avenatti,20,RS,28,Belgium
KV Oostende,24,73,L. De Bock,17,LB,26,Belgium
Kaizer Chiefs,26,69,P. Zulu,1,LM,27,South Africa
Kalmar FF,25,69,R. Elm,4,RCM,27,Sweden
Karlsruher SC,25,68,A. Fink,5,RS,28,Germany
Kashima Antlers,26,71,G. Shoji,11,LCB,30,Japan
Kashiwa Reysol,25,68,Cristiano,11,LS,28,Japan
Kasimpa�Ya SK,25,72,Trezeguet,15,LM,23,Turkey
Kawasaki Frontale,27,67,Y. Kobayashi,12,ST,30,Japan
Kayserispor,27,72,B. Mensah,33,LDM,25,Turkey
Kilmarnock,24,70,B. Enobakhare,14,RW,28,Scotland
Korona Kielce,24,66,E. Soriano,3,ST,27,Poland
Kristiansund BK,26,66,D. Ulvestad,2,LCB,24,Norway
LA Galaxy,27,71,Z. Ibrahimovi�?,15,RS,25,United States
LASK Linz,24,70,T. Goiginger,8,RW,24,Austria
LOSC Lille,22,79,Rui Fonte,41,ST,25,France
La Berrichonne de Châteauroux,26,67,C. Mandanne,5,LS,24,France
La Equidad,27,68,O. Bernal,3,RB,28,Colombia
Lazio,25,79,C. Immobile,115,ST,32,Italy
Le Havre AC,24,71,Z. Ferhat,7,RM,30,France
Lecce,27,68,L. Venuti,21,RB,29,Italy
"Lech Pozna�""",26,69,C. Gytkjær,9,ST,27,Poland
"Lechia Gda�""sk",25,70,Flavio Paixão,7,ST,27,Poland
Leeds United,23,75,Pablo Hernández,40,RM,30,England
